EID,Original_Sentence,Edited_Sentence
1c384610ec3e20373f46a65a2bdacd4619bbb463554e8f4049a66ffe99dcaac7,18,18
699e3931827dd605531f39a65cb4af4ddd840090ae8132b921b73c874d7df7be,omg i can not wait to see what that feels like as a parent congrats!,Omg I am excited to see what that feels like as a parent. Congrats!
e51905ded92743d11f0ab5a6eda926c2b481a509698fc253898cd81528157c89,Nice I can relate. How old were you when you moved out,"Nice, I relate. How old were you when you moved out?"
e192a5501496211ddb90b0ac3c25d51b20623c41143b52678623af0a8e85f01a,I am sure you will love it,You will love it.
52126ef85b3e3286a88b82933905991667b929bcc6ff6641b2fd68abb12c229b,I think you should get out and explore. I am in a similar situation-- moved to South Texas with zero connections/ family to jumpstart my business... and I have met some pretty amazing people,Get out and explore. I am in a similar situation—I moved to South Texas with zero connections/family to jumpstart my business... and I have met some pretty amazing people
feed033ee0d8e53dd60aaaba78c23268f48063ba736cac0e0f36ef4cc201e21d,Yeah,Yeah
8d42e9fb9a8bc356be7d59e0b1499a26988d5d4956285370e491d7ee4fa599be,I can imaging. He sounds pretty spineless and shady.,I understand. He sounds pretty spineless and shady.
baa1ee4235ff35ea78d88c4e7b6855157c5561e1ea81c899abb97f6cfa79d9a1,Do you? You should trust her,Do you? Trust her.
cc890dbcd14a621648c19ed35feb28d45302e74f878b088105884f35c5d0d169,The first time I heard that Steve Irwin had died I could not believe it... he was like my childhood hero. It was such a tragedy,The first time I heard that Steve Irwin had died I did not believe it... he was like my childhood hero. It was such a tragedy
d303668990112120126bf7e6d62fe4e703abe91bfb36ae087be0afdab5f484e1,I need to work on fear first and then I will try it.,I am working on fear first and then trying it.
54bba14efd093bcf076f73e1cb7c7ae54c42b47cb19dc7411a22ac4d26e6e15a,That will not be too hard,That is not too hard
d06fe070fcf57b17e356848887e2a857d1e70061c9844ed458b8080332787c42,I spit in my coffee cup this morning and it had leftover coffee in it too. I can not believe I forgot this and drank it in the afternoon...,I spit in my coffee cup this morning and it had leftover coffee in it too. I forgot this and drank it in the afternoon.
9f10ca7b33c61917db8264d9026db438fb90841e47074139023db8b61b277e7b,Yeah,Yeah
2a8596b627069b4b8cceaa554960e9976c5f3b9a3460445362175a5c044707b0,I have big fear of dogs. I can not explain why,I have a big fear of dogs. I do not know why.
bacf7d166932e3d92d575584c21df5e8d96a9ea21143adaf5ce266051e276534,Yeah,Yeah
e219a3d45337736eb14c0be6f64a7a0c1e3abea455740b0b7ec7ab36f6247c2f,My coworker told my boss that I came in to work 15 minutes late this morning. I could not believe he did that to me!,My coworker told my boss that I came in to work 15 minutes late this morning. I did not believe he did that to me!
b839a041e4fa7b9818327927eebeef788a52f53191a94de36ba73069c55d478f,If my friends did that I would have a heart attack.,"If my friends do that, I have a heart attack."
17a2fbcdd9470cae5167696d9dc733cf203228aaea03784a2d4b7394c531a942,I do not know. I could not stop crying. It was just awful,I did not stop crying. It was just awful.
4c4eb9a9a7090271deb292d04bb4e1bbec5f974a7b8c50b87dc5423f17686430,That is true,That is true
6cc7e35c8204476ce7d31f2622a49a9e7292952e6581fdba32e20b5d7139c8ff,I can imagine. Was she a hoarder of some type?,I understand. Was she a hoarder of some type?
dd7d88548a12b3c823f5ce69957ff0eb97b0eb3897a7a8d4ae82a2ca29b617a3,If you live under his roof then you should obey him.,"If you live under his roof, then you obey him."
f71bbf7f5de6387de2c8901340772b8141134ecc50ffe2fc3542026763eb3de9,That is awful. I hope she has friends and family she can lean on during this tough time.,That is awful. She has friends and family to lean on during this tough time.
5635ee04f24b5ff07221d9aede3ee9195b5f6cba8a724ce3e512071af80e2bb1,I kid you not. My one dog keeps barking at nothing but acting like he can see something.,I kid you not. My one dog keeps barking at nothing but acting like he sees something.
7264accb2f224cd67b1e27ed758cfc105d5bc67c792fb768bcface3644623202,Wow. Must be a really good show. What is it about?,Wow. The show is really good. What is it about?
a85d07ffce07afef4ef4099f5c6640aeea7ad263e6951c2f16f95bba5d991364,You must be so relieved that its done.,You are so relieved that it's done.
134dc0e308dc08983ca850470905dd61fb4f10d8f3e6dfbe1bcc8088ec2e6fd9,What kind of project may I ask?,What kind of project is this?
9dbb05123e4e6d781b924739d0bdf7fd0b35fd38fe31677406b08d3f9cfa060d,I am going to an amusement park tomorrow for the first time and I can hardly wait!,I am going to an amusement park tomorrow for the first time and I am very excited!
52d616bac68c14a187bb68d8c56a3f5dc907af72242a60dac70bb5f16bcd5989,Maybe I should have said stopped by a train. Ha Ha.,"I meant to say ""stopped by a train."" Ha Ha."
99f310e23817b90b6882fe53122c5fe08ad51f80b9b3f2ab5bc1ffc75ac27c89,My wife is at the doctor 's,My wife is at the doctor's.
f5c59dfb4a1f2b1b64a852c72f918ab452c05422cc327b6009ccb8a4383ced5f,I am sure she will be fin,She is fine.
d1f7459a1ea475dc1fed7d08116a85e5a578be8540b0243a542d822049ac1314,I just took an English teacher certification test. I can not wait for the results to come back.,I just took an English teacher certification test. I am eager for the results to come back.
6f6907404bc057f02e0a6a0a377989a09bb9e4ecf497d1eec539c821e7683967,Are you kidding me? The nerve of some people. How desperate do you have to be... Well,Are you kidding me? The nerve of some people. How desperate they are... Well
7ad0408ddc11f700769becb3d73f2ece66f955085400b486c22f2946a1ea449b,I sometimes wish that I can afford the luxuries that m friends can.,I sometimes wish I were able to afford the luxuries my friends have.
7bfccc6374cf51032e5c8cac3ea268d3683023505a898014f24c310e2e3a77a5,No they are doing work in the neighborhood. I Am glad I had my old hurricane supplies,"No, they are doing work in the neighborhood. I am glad I had my old hurricane supplies."
c5be7e1e37b1f4d7fb40dae7a16140e5fe9906bcaeff5f85ebe0387bd7a8d427,Just do not do again and I will keep your secret.,"Just do not do it again, and I keep your secret."
193060879a4e38192771a48d0df1d1c20b24f9a3e0ee1bfcf7134999ab2ccb72,It must have been really scary movie then. Try leaving the tv on to help.,It was a really scary movie then. Leaving the tv on helps.
a62f67b1b99400b6752391e1384aeec8cf7f11a0f26b7629e702fcf3df189187,Her husband lost his job and they could not afford it.,Her husband lost his job and they lacked the money for it.
3fcdb8ac5b4c63fd426de728e05b7cfde504004cda01198c0d4fe9621e385917,I can not believe I won 50 bucks on the lottery ticket I just bought. Did not expect it.,I am in disbelief that I won 50 bucks on the lottery ticket I just bought. I did not expect it.
980d695c80c8ec091e971649763fba607be24b830368c24f16a7cecf3e9c8616,You can learn eventually,You will learn.
1a2c94ea88011cbcc0aa04808709372ef35f19f1bc708f95230c7bfbb1a70590,I can not believe I actually lost that much weight. It is only been 2 months,I do not believe I actually lost that much weight. It has only been 2 months.
ba7c4ca982776e9efa69e5a1534f2c6b789028b12994eca659a803d82dab6651,I can not believe how big my dog has gotten. 7 months ago,I am amazed at how big my dog has gotten. 7 months ago
38cac3c4cade8abcd3fd90c15fcc7458da311a0a73635549421227d6681857b0,MY daughter can not follow simple directions because she is glued to her phone,My daughter is unable to follow simple directions because she is glued to her phone
08ba274f202da1252acf9b801d93cfa72d352e1b81a74a6af80eced772536abf,I could not wait to go to my aunts house. She was going to make my favorite dish,I was eager to go to my aunt's house. She planned to make my favorite dish.
0435d17707a59a8d3fc25e06e8483b75731a0dcf94567109216bd852abbf6275,I have been there too,I have been there too
117d78c097f944a23d67fdc0d7f6234c68dcddf2da9ca9ee042bf9c500ec8e86,MY kids refuse to go bed every night. I can not stand it.,My kids refuse to go to bed every night. I find it unbearable.
c8bcaadefce50d4c408ebaad3e391f91ae2054b4642122375c520155efb6a1f1,They going to have sore bottoms soon. I can not stand it.,They are due to have sore bottoms soon. I find it unbearable.
f1ad256a1866b838dd273a075bfd876eaef368a3ce3e94607ba0ea6aebe86752,I can relate to that!,I relate to that!
a138dad33909d761dbbed7e3e78dfc5ec0ac6337ca6f1873ea603fb4c9aaa54a,Ah,Ah
77a618dd3d75734d0dcd0b8f790803db35271b37e3cda3106dba5f24683bddc3,I wish. That was my first thought,I wanted that. That was my first thought.
9ec890e1f9508fc316c99f4aa5fba19bc14e81bf29a40f77f2ddfec8801612aa,Someone spray- painted my car last night,Someone spray-painted my car last night
45c51b84dc67b8b07cf2ae7406f6a916d8892ac2637e4c3854ed168f27542734,Probably. And you are right,That is the case. And you are right.
bb8ac6c77195194e035ec6c073ad5282025f8bf8f24f696b500174fe6617b511,I can not wait for my birthday,I am looking forward to my birthday.
b3d58e7fc098ebdc1de9408463ef4910c79381f5f5cc64b2989d91471a253354,I can not believe the summer is almost over.,I do not believe the summer is almost over.
f016361a03c48dbbe961b640cec94236b51b6df4a6c45348b0dfa4c8bef4000e,I think climate change will only exacerbate the freezing temperatures during winter season,Climate change only exacerbates freezing temperatures during winter.
75036ed23db5ddcf456776e7381e1af4bc714758f8724d57230e38dc29803c46,I can kind of see where you are coming from. I personally try to avoid too much nostalgia. Others seem to love it.,I see where you are coming from. I personally avoid too much nostalgia. Others love it.
72ff77f98a97d91226f9ba854a18a0893145221f67befdc60d7dbacd43a8e6c9,Maybe you should take a different class.,Taking a different class is a good idea.
cde12a83d5fc3de06f0c4d23548930219f569c8a5c8a7ea7348ad36096f7d306,I can not wait for the leaves to change color and the temperature to change.,I am eager for the leaves to change color and the temperature to change.
d03a2b4646b593dd83830c068cae48622a8ab97c531e94938b554f2bceaa017e,I can not wait to go to the clubs!,I am excited to go to the clubs!
4ae2da2f0f3003d52d3c85359081f59a71061445574d5d65ade4b22f6bec8664,We do not have a fence but I know my dog will stay in the yard,We do not have a fence but I know my dog stays in the yard.
1bc9866c4a7401b544eb713a599c158f11471e0cb74847be5f8f0ba9ec6d2a7e,I can not believe my daughter loves her new school so much. She does not like anything.,I do not believe my daughter loves her new school so much. She does not like anything.
c81fcc9e55ff0f092906622bd3a481b1a6af9b2c409bb620a08cc28ad849dcd0,Those are the kind you better keep a watch on. You never know what he might do.,Those are the kind you keep a watch on. You never know what he does.
e05c0151aef33d8e1cb5eb59e180943b74053c79dd4ed498476ab5aa91a36eeb,I can understand that viewpoint. It is a very complicated issue though!,I understand that viewpoint. It is a very complicated issue though!
e0a8f98108ffcdbfe7dbd6a120e3a428cf09681db891a6727b0cf9f569e43631,that is my favorite food too! no wonder it was lovely. you should cook italian food often then,"That is my favorite food too! No wonder it was lovely. Cook Italian food often, then."
c34f73b65002f8b34ead8aea9666f2b5e705c7e6cc89852d04845d02722d6e85,YOU can not imagine!,YOU have no idea!
8e47b1ff45360700bf56a2219fb0849d7a72cb42589fba6d80f9ec8d33bf3cf7,You should not lend money to anyone,Do not lend money to anyone.
cf2dad1abd169f5f2d065dfee54bb7aed1182e45ad48dc987e235cf11ec46c04,The other week I was walking a friend 's dog as a favour,The other week I was walking a friend's dog as a favour.
ebea279208e2d980f88e2956ccfad1144e71f8725e37d1a9e457d2b047fa0a65,I remember this time two years ago when I was expecting my youngest child we did not know whether she would be a boy or a girl. I was so excited when they told me the results were a girl.,I remember this time two years ago when I was expecting my youngest child and we did not know whether she was a boy or a girl. I was so excited when they told me the results were a girl.
a583937d97f6e7793093f061943505b4cbbd88a6a3252b9510e6be94a4a8cfa8,That must have been very upsetting. It happened to me back in 6th grade.,That was very upsetting. It happened to me back in 6th grade.
0a7f35152394c768f301a18e8193c616b6ccf496e424ae99030ef94e80ddf848,holy! that is a lot but she will get good use out of it,holy! that is a lot but she gets good use out of it
db80274e9224e8fe00c22e138df026a1fdc47a6bb401936bb4dbd8c1d40af9d8,My neighbor got this fancy audi that i saw at the dealership,My neighbor got this fancy Audi that I saw at the dealership.
b93229e10f35fb6f9e401b99d3115a6650fa744ed39ee41bb6c82d2b69ab87c4,my neighbor just installed a fancy pool,My neighbor just installed a fancy pool.
12b5a17b2cc491c1641902275efdd0cdbfc5ef4a7242810c6f24cf6a38dea25b,he must have been high,He was high.
2542970eebfb3f00fadac13a4300b7798addd68740349786e5fb2588a37f006f,Yeah,Yeah
8a25e2f1d2849363c608280e67baa54a93f4afb4875c23aa3d8387a1ea49c501,i can not even park where i want the neighbors keep stealing my parking spaces,I have nowhere to park where I want; the neighbors keep stealing my parking spaces.
8f1c29e3bcf9bfbb7365010115d78a9537148425d928c8798726b8e3c2ca3fe8,Wow that is even worse,"Wow, that is even worse."
87c8d143673880ab5fcae8606d4253307b47c850b83de3baf7409926ca88f8ce,I can not get over bad I feel.,I have not gotten over how bad I feel.
fdb8fb35b23a42e79b06b59ca3b01d85bbd476a791cd1b1df16fda1e2440a6d6,You can always talk to me. i am here for you,You are always welcome to talk to me. I am here for you.
1c85a3bfe5b8943a6384056d885d4fa690bbd51b397a8cbad5f2b63bc6e5f974,Sorry to hear that. All we can do is learn from it,Sorry to hear that. The only option is to learn from it.
75ee3674962a255c72e7e7c140f0b2a483ae09e935340f6ee54f636783bebe49,That is a relief I Have been in a similiar situation. I know its hard to bring yourself out of a hole,That is a relief. I have been in a similar situation. I know it's hard to bring yourself out of a hole
db7a51173f7a858b08e53a3be40d2938d17a7972d6e95cc2395e2a320d900dfd,I have got thick skin and can trade crass,I have got thick skin and trade crass.
23655cb65febdccae03320dcb4234bb8fef1b9b7b8ab25229bc91a0d94e5dd52,Yes it was. I was furious and hurt. Leaders should not do that to their employees.,"Yes, it was. I was furious and hurt. Leaders have no business doing that to their employees."
11389d560df10607203afee1a72cb36fc3394f1ce7a40c99bbbd297a1c5ddfb8,I can imagine. I hope it all works out for the best and that you are able to come away from this as a stronger person.,I imagine. It will all work out for the best and you will come away from this as a stronger person.
502a460c6a86b0202ce85879c5d49e76d8a7ef1592717d41a5a6fbdc0101f1d5,It had to do with an injury and who was at fault,It had to do with an injury and who was at fault.
b0809e550406b8199b3a4f2e14d6dcadce5af3cb7a5c15c14874931775ed3aa8,I think that would be a very wise idea.,That is a very wise idea.
2ab820c07193778088d97fd8ad1cfcf071123e6d8bec35235111826fb6c49aae,I can understand,I understand
4bb0080f483df98435267fd3709c00833dccd3b4ee834e8dac1b4f174f0d119f,I have taken him to the vet so hopefully we can take care of it!,I have taken him to the vet so we are taking care of it!
c7a24a3638801f2e425595b1b46c450f7727c8c9108ea16b1a064bcea2186d88,Going to see family. I just do not want to leave anything behind that I might need on the trip.,Going to see family. I just do not want to leave anything behind that I need on the trip.
a93f09aead0eb73c9f414ecb7f21e5eae0f7c909fb9278181fe1f6f3de782fb4,The other day I was at work and my friend would not help do any of the work! the entire day she just sat there and talked,The other day I was at work and my friend did not help with any of the work. The entire day she just sat there and talked.
e0cf4619068abb60f123148dc6829042ecba0503befc621c89bf65fe836c784b,I just can not wait for this weekend,I am really excited for this weekend.
b6790a8fa8f480a683d24acd45ed0e02cb8473a72c28a92a96b19c6ad4a415a0,They did,They did
59839f44a2f448f150bf50ff49d14fb9e3a0cccec4128aa627e1204f091a0722,I have been with my wife for over 10 years and have always been dedicated to her. I can not understand why some people cheat.,I have been with my wife for over 10 years and have always been dedicated to her. I do not understand why some people cheat.
d197c90ce287407acefa2915f68baad8767315e9cd9f45d877098d5f6401a8f1,And he can not stop lying all the time.,And he does not stop lying all the time.
8db565ab2820e1681348d3ff637e9e9ffc00add0e0226945bff3fcb19080b02e,I agree. I can not understand how his supporters do not see it! I guess they do not WANT to see it!,I agree. I do not understand how his supporters do not see it! They do not WANT to see it!
1d77de75207687eef21c6c6c1daa3e9f299ad2d21cc20bbffe9b67ddb48032a9,I have never been ocean or sea kayaking before. I bet that would be very fun,I have never been ocean or sea kayaking before. That sounds very fun.
ca3caae42d492ec5d2ab1c7545a84c8a9703fba6f573c35a7af6fae84dcac9d7,I can see the appeal. I have the opposite situation. Tiny sub- compact,I see the appeal. I have the opposite situation. Tiny subcompact.
c56d21b4cf94d0e5d760a94e62ed669e2a27cfb5c85cfef9c47e8dc027fec3c0,I have a friend that can jump rope for over an hour straight without stopping.,I have a friend who jumps rope for over an hour straight without stopping.
9dfccce5b536f02e90f8943db238633c1fb56bc5e2db9fd53b1c1bb570d86ddd,I can not believe the state of our politics in America.,I do not believe the state of our politics in America.
f99662b1110895f7adcc3302cb62556a7dff53dc449c72168a5cfcc50959a979,I agree,I agree
90f7df90015bca7407a4e22dece72550ed2ec97bf428022719f2bd6177dd6901,That stinks! Try not to be jealous though. Something else will come your way.,That stinks! Don't be jealous though. Something else is coming your way.
35153fa814c4faa51a53398b01cb226416475ad56dd6a220f3be87f01020b860,I invested some of my money in the crypto market last year. The market looks terrible right now and I am afraid I will lose my money!,I invested some of my money in the crypto market last year. The market looks terrible right now and I am afraid I am losing my money!
044c24235e7d59e23ad7d6f1e2caa90618135c7362eb5d7d482ede637a7b5366,Oh no! What happened? I can not imagine having to go through something that scary.,Oh no! What happened? It is unimaginable to have to go through something that scary.
71b407d0ffa9248f7a257261250405887a584812999014cd62af0f2f1e007c6e,So I am headed out of town this weekend. Going to try my luck at the casino! I can not wait,So I am headed out of town this weekend. Going to try my luck at the casino! I am excited.
53c0b6795c2cc3f5a680d702435272292deeb60ae97fa130701fb94bacb2898f,I have a 2 week vacation coming up that I am looking forward to. It is so hard to work when you can not wait!,I have a 2 week vacation coming up that I am looking forward to. It is so hard to work when you are unable to wait!
d9fa9c5fad1d6adc0bd0b74a7e1d6378975cc66a0d91a43913cd7382cb1732d3,I am sure if you explain it to them,"If you explain it to them, they understand."
