"EID"	"Original_Sentence"	"Edited_Sentence"	"Annotation_Notes"
"513d9e3ee6a276aeaf6b03809d6ea57d7fd073124ea9deb3bce526cb3316bf2c"	"I really can not stand when people in customer service have attitudes."	"I really hate when people in customer service have attitudes."	"replace: 'can not stand' -> 'hate'"
"27abbd546808972c829618002449e804483cbd23ea9f615b98c514489a20578e"	"My bad! But I can not get that picture out of my head. The yellow juice was so powerful and the smell was even worse!!!!"	"My bad! I still have that picture in my head. The yellow juice was so powerful and the smell was even worse!!!!"	"remove: 'But'; replace: 'can not get' -> 'still have'; replace: 'out of' -> 'in'"
"b59392daeab78faa695b3df485a67947d8ddad585707f7f2a91eeac76ec96949"	"For the third time in two weeks someone at work has stolen my lunch and no one will admit it."	"For the third time in two weeks someone at work has stolen my lunch and no one admits it."	"replace: 'will admit' -> 'admits'"
"ea5700a3ed982ee8726eb02d2bfe863afb7079c7d4068ff792f6ebcf0a9f0723"	"I will thanks for that piece of advice."	"Thanks for that piece of advice."	"replace: 'I will thanks' -> 'Thanks'"
"c104e5f7b14ddccb3cc6024d5f59d367c41c54e2be42af5a09cd39ae73bd5f16"	"I will always cheer for the New York Jets."	"I always cheer for the New York Jets."	"remove: 'will'"
"efbd050fef0447c198fba722fde740f726d2881e0881234b6b0ecf8eb4ade237"	"Oh no, well I am sure you will do okay if you just prepare really thoroughly."	"Oh no, well you do okay if you just prepare really thoroughly."	"remove: 'I am sure'; remove: 'will'"
"64ba05b80999e1e51cc8f5d18ca90f1d94ece7a305c9e07b9fa1868412d832ac"	"That must be so frustrating."	"That is so frustrating."	"replace: 'must be' -> 'is'"
"ab2fdd5f1640c34999e5fff1eaf07393aac609d5353e532d6d828479f6f9f62c"	"I think it will go well. My boss has been giving me really positive feedback lately."	"I am confident of a good outcome. My boss has been giving me really positive feedback lately."	"replace: 'think it will go well.' -> 'am confident of a good outcome.'"
"62457d67294b8eb5b3553054ee31c8a01cf1e281ccb06030c7db7d798f7a927d"	"That is good. I can not imagine what some parents have to go through. No child deserves to be sick."	"That is good. I have no idea what some parents have to go through. No child deserves to be sick."	"replace: 'can not imagine' -> 'have no idea'"
"ef73efde94b66b60008e58f3caeb5e561209562fb4fd5acc1ba42fbeb8a7f897"	"Hopefully we can cure some of these things so no child has to go through it."	"We cure some of these things so no child has to go through it."	"replace: 'Hopefully we can' -> 'We'"
"d58e03ef3e23cae3b6c19b0f139023f9fd81d24928218ffaef038cd3049b8402"	"Wow. Can she handle all of that?"	"Wow. She handles all of that."	"replace: 'Can she handle' -> 'She handles'; replace: 'that?' -> 'that.'"
"e69e1ace2c76f93ab9f00085f25d74e536b93c6e9a7dfca704d359292d8aa0f5"	"I am sooo upset with my mom. I do not think at this point I can forgive her."	"I am sooo upset with my mom. I am unable to forgive her at this point."	"replace: 'do not think' -> 'am unable to forgive her'; replace: 'point I can forgive her.' -> 'point.'"
"5cab078fad51e6d52e34594fa8a89d228f27fb28330e1c88c4659ad4bbba4c12"	"They should take down the posting if the job is taken."	"They take down the posting if the job is taken."	"remove: 'should'"
"39470719469694324796c5903dbebd232d1c344595559c3dc3e2cf40f3ef9274"	"I do too, TN, but I can not think of a soul food place here."	"I do too, TN, but I do not know of a soul food place here."	"replace: 'can' -> 'do'; replace: 'think' -> 'know'"
"d8123467549b45eef527281afddeb9c2c5e33e2e4a7f352aa07ed5ebcb6658bb"	"I can not stop thinking about my grandmother. She passed away recently and it hurts to think about."	"I keep thinking about my grandmother. She passed away recently and it hurts to think about her."	"replace: 'can not stop' -> 'keep'; replace: 'about.' -> 'about her.'"
"16cf03a8bd18584b99d10a913a09bc0bba44d34d3d60abd80830c48b5ab6e0db"	"I Am sure it will get better with time. I used to see her everyday for lunch. I miss those times."	"It gets better with time. I used to see her every day for lunch. I miss those times."	"replace: 'I Am sure it will get' -> 'It gets'; replace: 'everyday' -> 'every day'"
"bd77efaf96e66e7b8430f92510eee6c31c27822dd6f9a333454185880975dcab"	"Oh no. That may ruin the walls."	"Oh no. That risks ruining the walls."	"replace: 'may ruin' -> 'risks ruining'"
"e73d39ae2596d2edb1c5394fc50828435053cb41df54c03555529698d93e95d5"	"It was so fun, I wish I could go back to those days"	"It was so fun. I want to go back to those days."	"replace: 'fun,' -> 'fun.'; replace: 'wish I could' -> 'want to'; replace: 'days' -> 'days.'"
"f1512476fc75ef931f5c08a09346c90bca0096fadb8a6a24e10dfd5da3012e7d"	"i wish he could make it, i was just there alone with no one to enjoy the basketball game with"	"I wanted him to make it. I was just there alone with no one to enjoy the basketball game with."	"replace: 'i wish he could' -> 'I wanted him to'; replace: 'it, i' -> 'it. I'; replace: 'with' -> 'with.'"
"8357a9c38b57c430ecf860f2b2b3891fbe2fe20b63a09929906a76b6b570e506"	"It can be hard. I went through that myself."	"It is hard. I went through that myself."	"replace: 'can be' -> 'is'"
"6fe29df86f329218f4082ffca576db63abbd9e48792d3f0c02827312d452c9aa"	"I had a great interview yesterday. I Am really nervous and can not stop thinking about it. I hope they get back to me soon."	"I had a great interview yesterday. I am really nervous and keep thinking about it. I am waiting to hear from them soon."	"replace: 'Am' -> 'am'; replace: 'can not stop' -> 'keep'; replace: 'hope they get back' -> 'am waiting'; replace: 'me' -> 'hear from them'"
"bb7126653a3c15e5788c0c3433bfa35c03001389864043b51ba4a581165bfa5c"	"Yes, it was so heartbreaking. I had to call my husband who came home from work so we could bury her in the back yard. He was heartbroken, too, because he and Callie had a special bond."	"Yes, it was so heartbreaking. I called my husband, who came home from work, and we buried her in the back yard. He was heartbroken, too, because he and Callie had a special bond."	"replace: 'had to call' -> 'called'; replace: 'husband' -> 'husband,'; replace: 'work so' -> 'work, and'; replace: 'could bury' -> 'buried'"
"af36d967eff970aee9c37105e394a892e6cc0cad16a39ca8634370f646257872"	"It is always sad but there is little you can do other than keep them indoors where they are miserable. I am sure I am not the only one to suffer this kind of loss."	"It is always sad, but there is little to do other than keep them indoors where they are miserable. I am not the only one to suffer this kind of loss."	"replace: 'sad' -> 'sad,'; replace: 'you can' -> 'to'; remove: 'sure I am'"
"2578894454e1aebae3743884deeb6391e8287fc3cc20f666f5f67c75c6cd8b44"	"I rescued a dog in the woods. Was scary! I was terrified for a moment as it was back in the woods where some sketchy people hang out at night and live- but I grabbed her from that rope and I hid her for a few days until I found a rescue. I was threatened too- Her owner"" was out DRINKING instead of feeding or watering her- She was so starved and could have died in the heat. Even though I was scared there was no way I was giving her back."	"I rescued a dog in the woods. It was scary! I was terrified for a moment as she was back in the woods where some sketchy people hang out at night, but I grabbed her from the rope and hid her for a few days until I found a rescue. I was threatened as well. Her owner was out drinking instead of feeding or watering her. She was so starved and at risk of dying in the heat. Even though I was scared, I refused to give her back."	"replace: 'Was' -> 'It was'; replace: 'it' -> 'she'; replace: 'night and live-' -> 'night,'; replace: 'that' -> 'the'; remove: 'I'; replace: 'too-' -> 'as well.'; replace: 'owner""' -> 'owner'; replace: 'DRINKING' -> 'drinking'; replace: 'her-' -> 'her.'; replace: 'could have died' -> 'at risk of dying'; replace: 'scared there was no way' -> 'scared,'; replace: 'was giving' -> 'refused to give'"
"c96b959bfc8c78f244d4db4d0615911d12be83e9a87080b66592937d4a78582e"	"Can not always afford too! I am glad I can for once."	"Not always able to afford it! I am glad I managed it for once."	"replace: 'Can not' -> 'Not'; add: 'able to'; replace: 'too!' -> 'it!'; replace: 'can' -> 'managed it'"
"21aa2eaf5e8b1129244ef32bd8794bc21a211c65212f9c6913c0aa6caa89166a"	"I can understand that"	"I understand that"	"remove: 'can'"
"0378b725a8c845f00be47b28b7d1518e8d7ed9a5c92a7beb7486a83204837e97"	"After the first team meeting under new management I felt very sure that i can depend on my team"	"After the first team meeting under new management, I felt very sure I had a dependable team."	"replace: 'management' -> 'management,'; replace: 'that i can depend on my team' -> 'I had a dependable team.'"
"2eaa484b566efcf29fbdfcad62bb83eafd7ac2a16461999bb6eac9da573411df"	"It had girls with big boobs but well, I think I can explain myself."	"It had girls with big boobs but well, here's my explanation."	"replace: 'I think I can explain myself.' -> 'here's my explanation.'"
"5eec9619af22f4146e142af8526d2d2cd1a7cb36d341bf0ab5adcfe318909d89"	"I was driving the other day and a little turtle was in the road. I turned around and went back to get him before he got ran over and did not make it. Ugh. He got hit and smashed that fast before I could get him"	"I was driving the other day and a little turtle was in the road. I turned around and went back to get him before he was run over, but he did not make it. Ugh. He was hit and smashed that fast before I reached him."	"replace: 'got ran over and' -> 'was run over, but he'; replace: 'got' -> 'was'; replace: 'could get him' -> 'reached him.'"
"9b8e83f02dd7035073e0fcdb9f0948db8dea741a5222b767227accc133360aae"	"That will be sad. Are you going to get to go again before then?"	"That is sad. Do you have a chance to go again before then?"	"replace: 'will be' -> 'is'; replace: 'Are' -> 'Do'; replace: 'going to get' -> 'have a chance'"
"4828559171a6883c46afb31021f5a1919f7ebed1ed8753e1546dfe5d367f878e"	"I finally made reservations at the beach for next month for a family reunion. Can not wait to get away for awhile."	"I finally made reservations at the beach for next month for a family reunion. I am eager to get away for a while."	"replace: 'Can not wait' -> 'I am eager'; replace: 'awhile.' -> 'a while.'"
"366efe5ec8c67b62dc00e9b5fb9e363cd1ebadd37eb55602d6684e583c1a7ccc"	"That is terrible. We should all count our blessings."	"That is terrible. Counting our blessings is appropriate."	"replace: 'We should all count' -> 'Counting'; replace: 'blessings.' -> 'blessings is appropriate.'"
"e692d56dc1aefa18409c72467e1718bf1e25eaf150520f6b4003fd86f2810c0a"	"I can not believe I lied to my friend about being home the other day. I feel terrible"	"I find it unbelievable that I lied to my friend about being home the other day. I feel terrible."	"replace: 'can not believe' -> 'find it unbelievable that'; replace: 'terrible' -> 'terrible.'"
"8826a5d9216eafde573cabbab5f63c8d30b1dd0eb20ea7569e13446d24b5cfaa"	"Does that still happen? I can relate... it was a relief to go on vacation and get away from them."	"Does that still happen? I relate to that... It was a relief to go on vacation and get away from them."	"replace: 'can relate... it' -> 'relate to that... It'"
"1c384610ec3e20373f46a65a2bdacd4619bbb463554e8f4049a66ffe99dcaac7"	"18, so he is too young and I am hoping the same. But if it is, I will be there for him."	"18, so he is too young, and I expect the same. If so, I am there for him."	"replace: 'young' -> 'young,'; replace: 'am hoping' -> 'expect'; replace: 'But if it is,' -> 'If so,'; replace: 'will be' -> 'am'"
"699e3931827dd605531f39a65cb4af4ddd840090ae8132b921b73c874d7df7be"	"omg i can not wait to see what that feels like as a parent congrats!"	"omg I am excited to see what that feels like as a parent. Congrats!"	"replace: 'i can not wait' -> 'I am excited'; replace: 'parent congrats!' -> 'parent. Congrats!'"
"e51905ded92743d11f0ab5a6eda926c2b481a509698fc253898cd81528157c89"	"Nice I can relate. How old were you when you moved out"	"Nice, I relate. How old were you when you moved out?"	"replace: 'Nice' -> 'Nice,'; remove: 'can'; replace: 'out' -> 'out?'"
"e192a5501496211ddb90b0ac3c25d51b20623c41143b52678623af0a8e85f01a"	"I am sure you will love it"	"You love it."	"replace: 'I am sure you will' -> 'You'; replace: 'it' -> 'it.'"
"52126ef85b3e3286a88b82933905991667b929bcc6ff6641b2fd68abb12c229b"	"I think you should get out and explore. I am in a similar situation-- moved to South Texas with zero connections/ family to jumpstart my business... and I have met some pretty amazing people"	"Get out and explore. I am in a similar situation — I moved to South Texas with zero connections/family to jumpstart my business, and I have met some pretty amazing people."	"replace: 'I think you should get' -> 'Get'; replace: 'situation--' -> 'situation — I'; replace: 'connections/ family' -> 'connections/family'; replace: 'business...' -> 'business,'; replace: 'people' -> 'people.'"
"feed033ee0d8e53dd60aaaba78c23268f48063ba736cac0e0f36ef4cc201e21d"	"Yeah, I guess I should just put myself out there. I hope I feel better if I finally make some friends."	"Yeah, I'm putting myself out there. I feel better when I finally make some friends."	"replace: 'I guess I should just put' -> 'I'm putting'; remove: 'hope I'; replace: 'if' -> 'when'"
"8d42e9fb9a8bc356be7d59e0b1499a26988d5d4956285370e491d7ee4fa599be"	"I can imaging. He sounds pretty spineless and shady."	"I understand. He sounds pretty spineless and shady."	"replace: 'can imaging.' -> 'understand.'"
"baa1ee4235ff35ea78d88c4e7b6855157c5561e1ea81c899abb97f6cfa79d9a1"	"Do you? You should trust her, that is what marriage is about!"	"Do you? Trust her, that is what marriage is about!"	"replace: 'You should trust' -> 'Trust'"
"cc890dbcd14a621648c19ed35feb28d45302e74f878b088105884f35c5d0d169"	"The first time I heard that Steve Irwin had died I could not believe it... he was like my childhood hero. It was such a tragedy, the guy gave so much to the world"	"The first time I heard that Steve Irwin had died I did not believe it... he was like my childhood hero. It was such a tragedy, the guy gave so much to the world"	"replace: 'could' -> 'did'"
"d303668990112120126bf7e6d62fe4e703abe91bfb36ae087be0afdab5f484e1"	"I need to work on fear first and then I will try it."	"I need to work on fear first and then try it."	"remove: 'I will'"
"54bba14efd093bcf076f73e1cb7c7ae54c42b47cb19dc7411a22ac4d26e6e15a"	"That will not be too hard"	"That is not too hard."	"replace: 'will' -> 'is'; remove: 'be'; replace: 'hard' -> 'hard.'"
"d06fe070fcf57b17e356848887e2a857d1e70061c9844ed458b8080332787c42"	"I spit in my coffee cup this morning and it had leftover coffee in it too. I can not believe I forgot this and drank it in the afternoon..."	"I spit in my coffee cup this morning and it had leftover coffee in it too. I was surprised I forgot this and drank it in the afternoon."	"replace: 'can not believe' -> 'was surprised'; replace: 'afternoon...' -> 'afternoon.'"
"9f10ca7b33c61917db8264d9026db438fb90841e47074139023db8b61b277e7b"	"Yeah, that is what I was thinking. It was in a neighborhood so hopefully some kid found it and can buy something he always wanted."	"Yeah, that is what I was thinking. It was in a neighborhood, so some kid found it and bought something he always wanted."	"replace: 'neighborhood' -> 'neighborhood,'; remove: 'hopefully'; replace: 'can buy' -> 'bought'"
"2a8596b627069b4b8cceaa554960e9976c5f3b9a3460445362175a5c044707b0"	"I have big fear of dogs. I can not explain why"	"I have a big fear of dogs. I have no explanation for my fear."	"add: 'a'; replace: 'can not explain why' -> 'have no explanation for my fear.'"
"bacf7d166932e3d92d575584c21df5e8d96a9ea21143adaf5ce266051e276534"	"Yeah, isolation can happen when you get super sad. At least you are feeling better now"	"Yeah, isolation happens when you get super sad. At least you are feeling better now"	"replace: 'can happen' -> 'happens'"
"e219a3d45337736eb14c0be6f64a7a0c1e3abea455740b0b7ec7ab36f6247c2f"	"My coworker told my boss that I came in to work 15 minutes late this morning. I could not believe he did that to me!"	"My coworker told my boss that I came in to work 15 minutes late this morning. I did not believe he did that to me!"	"replace: 'could' -> 'did'"
"b839a041e4fa7b9818327927eebeef788a52f53191a94de36ba73069c55d478f"	"If my friends did that I would have a heart attack."	"If my friends do that, I have a heart attack."	"replace: 'did that' -> 'do that,'; remove: 'would'"
"17a2fbcdd9470cae5167696d9dc733cf203228aaea03784a2d4b7394c531a942"	"I do not know. I could not stop crying. It was just awful"	"I do not know. I was unable to stop crying. It was just awful."	"replace: 'could not' -> 'was unable to'; replace: 'awful' -> 'awful.'"
"4c4eb9a9a7090271deb292d04bb4e1bbec5f974a7b8c50b87dc5423f17686430"	"That is true, maybe I should not be so hard on myself."	"That is true, I will not be so hard on myself."	"remove: 'maybe'; replace: 'should' -> 'will'"
"6cc7e35c8204476ce7d31f2622a49a9e7292952e6581fdba32e20b5d7139c8ff"	"I can imagine. Was she a hoarder of some type?"	"I understand. Was she a hoarder of some type?"	"replace: 'can imagine.' -> 'understand.'"
"dd7d88548a12b3c823f5ce69957ff0eb97b0eb3897a7a8d4ae82a2ca29b617a3"	"If you live under his roof then you should obey him."	"If you live under his roof then you are required to obey him."	"replace: 'should' -> 'are required to'"
"f71bbf7f5de6387de2c8901340772b8141134ecc50ffe2fc3542026763eb3de9"	"That is awful. I hope she has friends and family she can lean on during this tough time."	"That is awful. She has friends and family to lean on during this tough time."	"replace: 'I hope she' -> 'She'; replace: 'she can' -> 'to'"
"5635ee04f24b5ff07221d9aede3ee9195b5f6cba8a724ce3e512071af80e2bb1"	"I kid you not. My one dog keeps barking at nothing but acting like he can see something."	"I kid you not. My one dog keeps barking at nothing but acting like he sees something."	"replace: 'can see' -> 'sees'"
"7264accb2f224cd67b1e27ed758cfc105d5bc67c792fb768bcface3644623202"	"Wow. Must be a really good show. What is it about?"	"Wow. It is a really good show. What is it about?"	"replace: 'Must be' -> 'It is'"
"a85d07ffce07afef4ef4099f5c6640aeea7ad263e6951c2f16f95bba5d991364"	"You must be so relieved that its done."	"You are so relieved that it's done."	"replace: 'must be' -> 'are'; replace: 'its' -> 'it's'"
"134dc0e308dc08983ca850470905dd61fb4f10d8f3e6dfbe1bcc8088ec2e6fd9"	"What kind of project may I ask?"	"What kind of project?"	"replace: 'project may I ask?' -> 'project?'"
"9dbb05123e4e6d781b924739d0bdf7fd0b35fd38fe31677406b08d3f9cfa060d"	"I am going to an amusement park tomorrow for the first time and I can hardly wait!"	"I am going to an amusement park tomorrow for the first time and I am very excited!"	"replace: 'can hardly wait!' -> 'am very excited!'"
"52d616bac68c14a187bb68d8c56a3f5dc907af72242a60dac70bb5f16bcd5989"	"Maybe I should have said stopped by a train. Ha Ha."	"I said ""stopped by a train."" Ha Ha."	"remove: 'Maybe'; remove: 'should have'; replace: 'stopped' -> '""stopped'; replace: 'train.' -> 'train.""'"
"99f310e23817b90b6882fe53122c5fe08ad51f80b9b3f2ab5bc1ffc75ac27c89"	"My wife is at the doctor 's, and I think we might be getting good news about a new addition to our little family."	"My wife is at the doctor's, and we are getting good news about a new addition to our little family."	"replace: 'doctor 's,' -> 'doctor's,'; remove: 'I think'; replace: 'might be' -> 'are'"
"f5c59dfb4a1f2b1b64a852c72f918ab452c05422cc327b6009ccb8a4383ced5f"	"I am sure she will be fin"	"She is fine."	"replace: 'I am sure she will be fin' -> 'She is fine.'"
"d1f7459a1ea475dc1fed7d08116a85e5a578be8540b0243a542d822049ac1314"	"I just took an English teacher certification test. I can not wait for the results to come back."	"I just took an English teacher certification test. I am eager for the results to come back."	"replace: 'can not wait' -> 'am eager'"
"6f6907404bc057f02e0a6a0a377989a09bb9e4ecf497d1eec539c821e7683967"	"Are you kidding me? The nerve of some people. How desperate do you have to be... Well, I hope you can at least replace the present so your son is not too sad. And at least they did not try to bust into your home and harm you."	"Are you kidding me? The nerve of some people. How desperate is that... Well, at least replace the present so your son is not too sad. And at least there was no attempt to bust into your home and harm you."	"replace: 'do you have to be...' -> 'is that...'; remove: 'I hope you can'; replace: 'they did not try' -> 'there was no attempt'"
"7ad0408ddc11f700769becb3d73f2ece66f955085400b486c22f2946a1ea449b"	"I sometimes wish that I can afford the luxuries that m friends can."	"I sometimes wish I had the means to afford the luxuries my friends have."	"remove: 'that'; replace: 'can' -> 'had the means to'; replace: 'that m' -> 'my'; replace: 'can.' -> 'have.'"
"7bfccc6374cf51032e5c8cac3ea268d3683023505a898014f24c310e2e3a77a5"	"No they are doing work in the neighborhood. I Am glad I had my old hurricane supplies, batteries, etc. I could not see anything."	"No, they are doing work in the neighborhood. I am glad I had my old hurricane supplies, batteries, etc. I saw nothing."	"replace: 'No' -> 'No,'; replace: 'Am' -> 'am'; replace: 'could not see anything.' -> 'saw nothing.'"
"c5be7e1e37b1f4d7fb40dae7a16140e5fe9906bcaeff5f85ebe0387bd7a8d427"	"Just do not do again and I will keep your secret."	"Just don't do it again and I keep your secret."	"add: 'don't'; replace: 'not do' -> 'it'; remove: 'will'"
"193060879a4e38192771a48d0df1d1c20b24f9a3e0ee1bfcf7134999ab2ccb72"	"It must have been really scary movie then. Try leaving the tv on to help."	"It was a really scary movie then. Leaving the TV on helps."	"replace: 'must have been' -> 'was a'; replace: 'Try leaving' -> 'Leaving'; replace: 'tv' -> 'TV'; replace: 'to help.' -> 'helps.'"
"a62f67b1b99400b6752391e1384aeec8cf7f11a0f26b7629e702fcf3df189187"	"Her husband lost his job and they could not afford it."	"Her husband lost his job and they were unable to afford it."	"replace: 'could not' -> 'were unable to'"
"3fcdb8ac5b4c63fd426de728e05b7cfde504004cda01198c0d4fe9621e385917"	"I can not believe I won 50 bucks on the lottery ticket I just bought. Did not expect it."	"I do not believe I won 50 bucks on the lottery ticket I just bought. I did not expect it."	"replace: 'can' -> 'do'; replace: 'Did' -> 'I did'"
"980d695c80c8ec091e971649763fba607be24b830368c24f16a7cecf3e9c8616"	"You can learn eventually"	"You learn eventually."	"remove: 'can'; replace: 'eventually' -> 'eventually.'"
"1a2c94ea88011cbcc0aa04808709372ef35f19f1bc708f95230c7bfbb1a70590"	"I can not believe I actually lost that much weight. It is only been 2 months"	"I am surprised I actually lost that much weight. It has only been 2 months."	"replace: 'can not believe' -> 'am surprised'; replace: 'is' -> 'has'; replace: 'months' -> 'months.'"
"ba7c4ca982776e9efa69e5a1534f2c6b789028b12994eca659a803d82dab6651"	"I can not believe how big my dog has gotten. 7 months ago, she was a small, clueless puppy but now she is a big one!"	"I am surprised by how big my dog has gotten. 7 months ago, she was a small, clueless puppy, but now she is a big one!"	"replace: 'can not believe' -> 'am surprised by'; replace: 'puppy' -> 'puppy,'"
