sentence,entailment
"""Amazon is shipping the parcel"" entails ""Amazon bundles the parcel""",0
"""Amazon is shipping the parcel"" entails ""Amazon bundled the parcel""",1
"""Amazon was shipping the parcel"" entails ""Amazon is bundling the parcel""",0
"""Amazon was shipping the parcel"" entails ""Amazon was bundling the parcel""",1
"""Amazon was shipping the parcel"" entails ""Amazon has bundled the parcel""",0
"""Amazon was shipping the parcel"" entails ""Amazon had bundled the parcel""",1
"""Amazon was shipping the parcel"" entails ""Amazon will bundle the parcel""",0
"""Amazon was shipping the parcel"" entails ""Amazon bundles the parcel""",0
"""Amazon was shipping the parcel"" entails ""Amazon bundled the parcel""",1
"""Amazon has shipped the parcel"" entails ""Amazon is bundling the parcel""",0
"""Amazon has shipped the parcel"" entails ""Amazon was bundling the parcel""",1
"""Amazon has shipped the parcel"" entails ""Amazon has bundled the parcel""",0
"""Amazon has shipped the parcel"" entails ""Amazon had bundled the parcel""",1
"""Amazon has shipped the parcel"" entails ""Amazon will bundle the parcel""",0
"""Amazon has shipped the parcel"" entails ""Amazon bundles the parcel""",0
"""Amazon has shipped the parcel"" entails ""Amazon bundled the parcel""",1
"""Amazon had shipped the parcel"" entails ""Amazon is bundling the parcel""",0
"""Amazon had shipped the parcel"" entails ""Amazon was bundling the parcel""",1
"""Amazon had shipped the parcel"" entails ""Amazon has bundled the parcel""",0
"""Amazon had shipped the parcel"" entails ""Amazon had bundled the parcel""",1
"""Amazon had shipped the parcel"" entails ""Amazon will bundle the parcel""",0
"""Amazon had shipped the parcel"" entails ""Amazon bundles the parcel""",0
"""Amazon had shipped the parcel"" entails ""Amazon bundled the parcel""",1
"""Amazon will ship the parcel"" entails ""Amazon is bundling the parcel""",0
"""Amazon will ship the parcel"" entails ""Amazon was bundling the parcel""",0
"""Amazon will ship the parcel"" entails ""Amazon has bundled the parcel""",0
"""Amazon will ship the parcel"" entails ""Amazon had bundled the parcel""",0
"""Amazon will ship the parcel"" entails ""Amazon will bundle the parcel""",0
"""Amazon will ship the parcel"" entails ""Amazon bundles the parcel""",0
"""Amazon will ship the parcel"" entails ""Amazon bundled the parcel""",0
"""Amazon ships the parcel"" entails ""Amazon is bundling the parcel""",0
"""Amazon ships the parcel"" entails ""Amazon was bundling the parcel""",1
"""Amazon ships the parcel"" entails ""Amazon has bundled the parcel""",1
"""Amazon ships the parcel"" entails ""Amazon had bundled the parcel""",1
"""Amazon ships the parcel"" entails ""Amazon will bundle the parcel""",0
"""Amazon ships the parcel"" entails ""Amazon bundles the parcel""",0
"""Amazon ships the parcel"" entails ""Amazon bundled the parcel""",1
"""Amazon shipped the parcel"" entails ""Amazon is bundling the parcel""",0
"""Amazon shipped the parcel"" entails ""Amazon was bundling the parcel""",1
"""Amazon shipped the parcel"" entails ""Amazon has bundled the parcel""",0
"""Amazon shipped the parcel"" entails ""Amazon had bundled the parcel""",1
"""Amazon shipped the parcel"" entails ""Amazon will bundle the parcel""",0
"""Amazon shipped the parcel"" entails ""Amazon bundles the parcel""",0
"""Amazon shipped the parcel"" entails ""Amazon bundled the parcel""",1
"""Amazon is bundling the parcel"" entails ""Amazon is shipping the parcel""",0
"""Amazon is bundling the parcel"" entails ""Amazon was shipping the parcel""",0
"""Amazon is bundling the parcel"" entails ""Amazon has shipped the parcel""",0
"""Amazon is bundling the parcel"" entails ""Amazon had shipped the parcel""",0
"""Amazon is bundling the parcel"" entails ""Amazon will ship the parcel""",0
"""Amazon is bundling the parcel"" entails ""Amazon ships the parcel""",0
"""Amazon is bundling the parcel"" entails ""Amazon shipped the parcel""",0
"""Amazon was bundling the parcel"" entails ""Amazon is shipping the parcel""",0
"""Amazon was bundling the parcel"" entails ""Amazon was shipping the parcel""",0
"""Amazon was bundling the parcel"" entails ""Amazon has shipped the parcel""",0
"""Amazon was bundling the parcel"" entails ""Amazon had shipped the parcel""",0
"""Amazon was bundling the parcel"" entails ""Amazon will ship the parcel""",0
"""Amazon was bundling the parcel"" entails ""Amazon ships the parcel""",0
"""Amazon was bundling the parcel"" entails ""Amazon shipped the parcel""",0
"""Amazon has bundled the parcel"" entails ""Amazon is shipping the parcel""",0
"""Amazon has bundled the parcel"" entails ""Amazon was shipping the parcel""",0
"""Amazon has bundled the parcel"" entails ""Amazon has shipped the parcel""",0
"""Amazon has bundled the parcel"" entails ""Amazon had shipped the parcel""",0
"""Amazon has bundled the parcel"" entails ""Amazon will ship the parcel""",0
"""Amazon has bundled the parcel"" entails ""Amazon ships the parcel""",0
"""Amazon has bundled the parcel"" entails ""Amazon shipped the parcel""",0
"""Amazon had bundled the parcel"" entails ""Amazon is shipping the parcel""",0
"""Amazon had bundled the parcel"" entails ""Amazon was shipping the parcel""",0
"""Amazon had bundled the parcel"" entails ""Amazon has shipped the parcel""",0
"""Amazon had bundled the parcel"" entails ""Amazon had shipped the parcel""",0
"""Amazon had bundled the parcel"" entails ""Amazon will ship the parcel""",0
"""Amazon had bundled the parcel"" entails ""Amazon ships the parcel""",0
"""Amazon had bundled the parcel"" entails ""Amazon shipped the parcel""",0
"""Amazon will bundle the parcel"" entails ""Amazon is shipping the parcel""",0
"""Amazon will bundle the parcel"" entails ""Amazon was shipping the parcel""",0
"""Amazon will bundle the parcel"" entails ""Amazon has shipped the parcel""",0
"""Amazon will bundle the parcel"" entails ""Amazon had shipped the parcel""",0
"""Amazon will bundle the parcel"" entails ""Amazon will ship the parcel""",0
"""Amazon will bundle the parcel"" entails ""Amazon ships the parcel""",0
"""Amazon will bundle the parcel"" entails ""Amazon shipped the parcel""",0
"""Amazon bundles the parcel"" entails ""Amazon is shipping the parcel""",0
"""Amazon bundles the parcel"" entails ""Amazon was shipping the parcel""",0
"""Amazon bundles the parcel"" entails ""Amazon has shipped the parcel""",0
"""Amazon bundles the parcel"" entails ""Amazon had shipped the parcel""",0
"""Amazon bundles the parcel"" entails ""Amazon will ship the parcel""",0
"""Amazon bundles the parcel"" entails ""Amazon ships the parcel""",0
"""Amazon bundles the parcel"" entails ""Amazon shipped the parcel""",0
"""Amazon bundled the parcel"" entails ""Amazon is shipping the parcel""",0
"""Amazon bundled the parcel"" entails ""Amazon was shipping the parcel""",0
"""Amazon bundled the parcel"" entails ""Amazon has shipped the parcel""",0
"""Amazon bundled the parcel"" entails ""Amazon had shipped the parcel""",0
"""Amazon bundled the parcel"" entails ""Amazon will ship the parcel""",0
"""Amazon bundled the parcel"" entails ""Amazon ships the parcel""",0
"""Amazon bundled the parcel"" entails ""Amazon shipped the parcel""",0
"""Austria is attacking Serbia"" entails ""Austria is bombing Serbia""",0
"""Austria is attacking Serbia"" entails ""Austria was bombing Serbia""",0
"""Austria is attacking Serbia"" entails ""Austria has bombed Serbia""",0
"""Austria is attacking Serbia"" entails ""Austria had bombed Serbia""",0
"""Austria is attacking Serbia"" entails ""Austria will bomb Serbia""",0
"""Austria is attacking Serbia"" entails ""Austria bombs Serbia""",0
"""Austria is attacking Serbia"" entails ""Austria bombed Serbia""",0
"""Austria was attacking Serbia"" entails ""Austria is bombing Serbia""",0
"""Austria was attacking Serbia"" entails ""Austria was bombing Serbia""",0
"""Austria was attacking Serbia"" entails ""Austria has bombed Serbia""",0
"""Austria was attacking Serbia"" entails ""Austria had bombed Serbia""",0
"""Austria was attacking Serbia"" entails ""Austria will bomb Serbia""",0
"""Austria was attacking Serbia"" entails ""Austria bombs Serbia""",0
"""Austria was attacking Serbia"" entails ""Austria bombed Serbia""",0
"""Austria has attacked Serbia"" entails ""Austria is bombing Serbia""",0
"""Austria has attacked Serbia"" entails ""Austria was bombing Serbia""",0
"""Austria has attacked Serbia"" entails ""Austria has bombed Serbia""",0
"""Austria has attacked Serbia"" entails ""Austria had bombed Serbia""",0
"""Austria has attacked Serbia"" entails ""Austria will bomb Serbia""",0
"""Austria has attacked Serbia"" entails ""Austria bombs Serbia""",0
"""Austria has attacked Serbia"" entails ""Austria bombed Serbia""",0
"""Austria had attacked Serbia"" entails ""Austria is bombing Serbia""",0
"""Austria had attacked Serbia"" entails ""Austria was bombing Serbia""",0
"""Austria had attacked Serbia"" entails ""Austria has bombed Serbia""",0
"""Austria had attacked Serbia"" entails ""Austria had bombed Serbia""",0
"""Austria had attacked Serbia"" entails ""Austria will bomb Serbia""",0
"""Austria had attacked Serbia"" entails ""Austria bombs Serbia""",0
"""Austria had attacked Serbia"" entails ""Austria bombed Serbia""",0
"""Austria will attack Serbia"" entails ""Austria is bombing Serbia""",0
"""Austria will attack Serbia"" entails ""Austria was bombing Serbia""",0
"""Austria will attack Serbia"" entails ""Austria has bombed Serbia""",0
"""Austria will attack Serbia"" entails ""Austria had bombed Serbia""",0
"""Austria will attack Serbia"" entails ""Austria will bomb Serbia""",0
"""Austria will attack Serbia"" entails ""Austria bombs Serbia""",0
"""Austria will attack Serbia"" entails ""Austria bombed Serbia""",0
"""Austria attacks Serbia"" entails ""Austria is bombing Serbia""",0
"""Austria attacks Serbia"" entails ""Austria was bombing Serbia""",0
"""Austria attacks Serbia"" entails ""Austria has bombed Serbia""",0
"""Austria attacks Serbia"" entails ""Austria had bombed Serbia""",0
"""Austria attacks Serbia"" entails ""Austria will bomb Serbia""",0
"""Austria attacks Serbia"" entails ""Austria bombs Serbia""",0
"""Austria attacks Serbia"" entails ""Austria bombed Serbia""",0
"""Austria attacked Serbia"" entails ""Austria is bombing Serbia""",0
"""Austria attacked Serbia"" entails ""Austria was bombing Serbia""",0
"""Austria attacked Serbia"" entails ""Austria has bombed Serbia""",0
"""Austria attacked Serbia"" entails ""Austria had bombed Serbia""",0
"""Austria attacked Serbia"" entails ""Austria will bomb Serbia""",0
"""Austria attacked Serbia"" entails ""Austria bombs Serbia""",0
"""Austria attacked Serbia"" entails ""Austria bombed Serbia""",0
"""Austria is bombing Serbia"" entails ""Austria is attacking Serbia""",1
"""Austria is bombing Serbia"" entails ""Austria was attacking Serbia""",1
"""Austria is bombing Serbia"" entails ""Austria has attacked Serbia""",1
"""Austria is bombing Serbia"" entails ""Austria had attacked Serbia""",1
"""Austria is bombing Serbia"" entails ""Austria will attack Serbia""",1
"""Austria is bombing Serbia"" entails ""Austria attacks Serbia""",1
"""Austria is bombing Serbia"" entails ""Austria attacked Serbia""",1
"""Austria was bombing Serbia"" entails ""Austria is attacking Serbia""",0
"""Austria was bombing Serbia"" entails ""Austria was attacking Serbia""",1
"""Austria was bombing Serbia"" entails ""Austria has attacked Serbia""",0
"""Austria was bombing Serbia"" entails ""Austria had attacked Serbia""",1
"""Austria was bombing Serbia"" entails ""Austria will attack Serbia""",0
"""Austria was bombing Serbia"" entails ""Austria attacks Serbia""",0
"""Austria was bombing Serbia"" entails ""Austria attacked Serbia""",1
"""Austria has bombed Serbia"" entails ""Austria is attacking Serbia""",1
"""Austria has bombed Serbia"" entails ""Austria was attacking Serbia""",1
"""Austria has bombed Serbia"" entails ""Austria has attacked Serbia""",1
"""Austria has bombed Serbia"" entails ""Austria had attacked Serbia""",1
"""Austria has bombed Serbia"" entails ""Austria will attack Serbia""",1
"""Austria has bombed Serbia"" entails ""Austria attacks Serbia""",1
"""Austria has bombed Serbia"" entails ""Austria attacked Serbia""",1
"""Austria had bombed Serbia"" entails ""Austria is attacking Serbia""",0
"""Austria had bombed Serbia"" entails ""Austria was attacking Serbia""",1
"""Austria had bombed Serbia"" entails ""Austria has attacked Serbia""",0
"""Austria had bombed Serbia"" entails ""Austria had attacked Serbia""",1
"""Austria had bombed Serbia"" entails ""Austria will attack Serbia""",0
"""Austria had bombed Serbia"" entails ""Austria attacks Serbia""",0
"""Austria had bombed Serbia"" entails ""Austria attacked Serbia""",1
"""Austria will bomb Serbia"" entails ""Austria is attacking Serbia""",0
"""Austria will bomb Serbia"" entails ""Austria was attacking Serbia""",0
"""Austria will bomb Serbia"" entails ""Austria has attacked Serbia""",0
"""Austria will bomb Serbia"" entails ""Austria had attacked Serbia""",0
"""Austria will bomb Serbia"" entails ""Austria will attack Serbia""",1
"""Austria will bomb Serbia"" entails ""Austria attacks Serbia""",0
"""Austria will bomb Serbia"" entails ""Austria attacked Serbia""",0
"""Austria bombs Serbia"" entails ""Austria is attacking Serbia""",1
"""Austria bombs Serbia"" entails ""Austria was attacking Serbia""",1
"""Austria bombs Serbia"" entails ""Austria has attacked Serbia""",1
"""Austria bombs Serbia"" entails ""Austria had attacked Serbia""",0
"""Austria bombs Serbia"" entails ""Austria will attack Serbia""",1
"""Austria bombs Serbia"" entails ""Austria attacks Serbia""",1
"""Austria bombs Serbia"" entails ""Austria attacked Serbia""",1
"""Austria bombed Serbia"" entails ""Austria is attacking Serbia""",0
"""Austria bombed Serbia"" entails ""Austria was attacking Serbia""",1
"""Austria bombed Serbia"" entails ""Austria has attacked Serbia""",0
"""Austria bombed Serbia"" entails ""Austria had attacked Serbia""",1
"""Austria bombed Serbia"" entails ""Austria will attack Serbia""",0
"""Austria bombed Serbia"" entails ""Austria attacks Serbia""",0
"""Austria bombed Serbia"" entails ""Austria attacked Serbia""",1
"""Google is hiring Thomas"" entails ""Google is interviewing Thomas""",0
"""Google is hiring Thomas"" entails ""Google was interviewing Thomas""",1
"""Google is hiring Thomas"" entails ""Google has interviewed Thomas""",1
"""Google is hiring Thomas"" entails ""Google had interviewed Thomas""",1
"""Google is hiring Thomas"" entails ""Google will interview Thomas""",0
"""Google is hiring Thomas"" entails ""Google interviews Thomas""",0
"""Google is hiring Thomas"" entails ""Google interviewed Thomas""",1
"""Google was hiring Thomas"" entails ""Google is interviewing Thomas""",0
"""Google was hiring Thomas"" entails ""Google was interviewing Thomas""",1
"""Google was hiring Thomas"" entails ""Google has interviewed Thomas""",0
"""Google was hiring Thomas"" entails ""Google had interviewed Thomas""",1
"""Google was hiring Thomas"" entails ""Google will interview Thomas""",0
"""Google was hiring Thomas"" entails ""Google interviews Thomas""",0
"""Google was hiring Thomas"" entails ""Google interviewed Thomas""",1
"""Google has hired Thomas"" entails ""Google is interviewing Thomas""",0
"""Google has hired Thomas"" entails ""Google was interviewing Thomas""",1
"""Google has hired Thomas"" entails ""Google has interviewed Thomas""",0
"""Google has hired Thomas"" entails ""Google had interviewed Thomas""",1
"""Google has hired Thomas"" entails ""Google will interview Thomas""",0
"""Google has hired Thomas"" entails ""Google interviews Thomas""",0
"""Google has hired Thomas"" entails ""Google interviewed Thomas""",1
"""Google had hired Thomas"" entails ""Google is interviewing Thomas""",0
"""Google had hired Thomas"" entails ""Google was interviewing Thomas""",1
"""Google had hired Thomas"" entails ""Google has interviewed Thomas""",0
"""Google had hired Thomas"" entails ""Google had interviewed Thomas""",1
"""Google had hired Thomas"" entails ""Google will interview Thomas""",0
"""Google had hired Thomas"" entails ""Google interviews Thomas""",0
"""Google had hired Thomas"" entails ""Google interviewed Thomas""",1
"""Google will hire Thomas"" entails ""Google is interviewing Thomas""",0
"""Google will hire Thomas"" entails ""Google was interviewing Thomas""",0
"""Google will hire Thomas"" entails ""Google has interviewed Thomas""",0
"""Google will hire Thomas"" entails ""Google had interviewed Thomas""",0
"""Google will hire Thomas"" entails ""Google will interview Thomas""",0
"""Google will hire Thomas"" entails ""Google interviews Thomas""",0
"""Google will hire Thomas"" entails ""Google interviewed Thomas""",0
"""Google hires Thomas"" entails ""Google is interviewing Thomas""",0
"""Google hires Thomas"" entails ""Google was interviewing Thomas""",1
"""Google hires Thomas"" entails ""Google has interviewed Thomas""",1
"""Google hires Thomas"" entails ""Google had interviewed Thomas""",1
"""Google hires Thomas"" entails ""Google will interview Thomas""",0
"""Google hires Thomas"" entails ""Google interviews Thomas""",0
"""Google hires Thomas"" entails ""Google interviewed Thomas""",1
"""Google hired Thomas"" entails ""Google is interviewing Thomas""",0
"""Google hired Thomas"" entails ""Google was interviewing Thomas""",1
"""Google hired Thomas"" entails ""Google has interviewed Thomas""",0
"""Google hired Thomas"" entails ""Google had interviewed Thomas""",1
"""Google hired Thomas"" entails ""Google will interview Thomas""",0
"""Google hired Thomas"" entails ""Google interviews Thomas""",0
"""Google hired Thomas"" entails ""Google interviewed Thomas""",1
"""Google is interviewing Thomas"" entails ""Google is hiring Thomas""",0
"""Google is interviewing Thomas"" entails ""Google was hiring Thomas""",0
"""Google is interviewing Thomas"" entails ""Google has hired Thomas""",0
"""Google is interviewing Thomas"" entails ""Google had hired Thomas""",0
"""Google is interviewing Thomas"" entails ""Google will hire Thomas""",0
"""Google is interviewing Thomas"" entails ""Google hires Thomas""",0
"""Google is interviewing Thomas"" entails ""Google hired Thomas""",0
"""Google was interviewing Thomas"" entails ""Google is hiring Thomas""",0
"""Google was interviewing Thomas"" entails ""Google was hiring Thomas""",0
"""Google was interviewing Thomas"" entails ""Google has hired Thomas""",0
"""Google was interviewing Thomas"" entails ""Google had hired Thomas""",0
"""Google was interviewing Thomas"" entails ""Google will hire Thomas""",0
"""Google was interviewing Thomas"" entails ""Google hires Thomas""",0
"""Google was interviewing Thomas"" entails ""Google hired Thomas""",0
"""Google has interviewed Thomas"" entails ""Google is hiring Thomas""",0
"""Google has interviewed Thomas"" entails ""Google was hiring Thomas""",0
"""Google has interviewed Thomas"" entails ""Google has hired Thomas""",0
"""Google has interviewed Thomas"" entails ""Google had hired Thomas""",0
"""Google has interviewed Thomas"" entails ""Google will hire Thomas""",0
"""Google has interviewed Thomas"" entails ""Google hires Thomas""",0
"""Google has interviewed Thomas"" entails ""Google hired Thomas""",0
"""Google had interviewed Thomas"" entails ""Google is hiring Thomas""",0
"""Google had interviewed Thomas"" entails ""Google was hiring Thomas""",0
"""Google had interviewed Thomas"" entails ""Google has hired Thomas""",0
"""Google had interviewed Thomas"" entails ""Google had hired Thomas""",0
"""Google had interviewed Thomas"" entails ""Google will hire Thomas""",0
"""Google had interviewed Thomas"" entails ""Google hires Thomas""",0
"""Google had interviewed Thomas"" entails ""Google hired Thomas""",0
"""Google will interview Thomas"" entails ""Google is hiring Thomas""",0
"""Google will interview Thomas"" entails ""Google was hiring Thomas""",0
"""Google will interview Thomas"" entails ""Google has hired Thomas""",0
"""Google will interview Thomas"" entails ""Google had hired Thomas""",0
"""Google will interview Thomas"" entails ""Google will hire Thomas""",0
"""Google will interview Thomas"" entails ""Google hires Thomas""",0
"""Google will interview Thomas"" entails ""Google hired Thomas""",0
"""Google interviews Thomas"" entails ""Google is hiring Thomas""",0
"""Google interviews Thomas"" entails ""Google was hiring Thomas""",0
"""Google interviews Thomas"" entails ""Google has hired Thomas""",0
"""Google interviews Thomas"" entails ""Google had hired Thomas""",0
"""Google interviews Thomas"" entails ""Google will hire Thomas""",0
"""Google interviews Thomas"" entails ""Google hires Thomas""",0
"""Google interviews Thomas"" entails ""Google hired Thomas""",0
"""Google interviewed Thomas"" entails ""Google is hiring Thomas""",0
"""Google interviewed Thomas"" entails ""Google was hiring Thomas""",0
"""Google interviewed Thomas"" entails ""Google has hired Thomas""",0
"""Google interviewed Thomas"" entails ""Google had hired Thomas""",0
"""Google interviewed Thomas"" entails ""Google will hire Thomas""",0
"""Google interviewed Thomas"" entails ""Google hires Thomas""",0
"""Google interviewed Thomas"" entails ""Google hired Thomas""",0
"""John is publishing the documentary"" entails ""John is filming the documentary""",0
"""John is publishing the documentary"" entails ""John was filming the documentary""",1
"""John is publishing the documentary"" entails ""John has filmed the documentary""",1
"""John is publishing the documentary"" entails ""John had filmed the documentary""",1
"""John is publishing the documentary"" entails ""John will film the documentary""",0
"""John is publishing the documentary"" entails ""John films the documentary""",0
"""John is publishing the documentary"" entails ""John filmed the documentary""",1
"""John was publishing the documentary"" entails ""John is filming the documentary""",0
"""John was publishing the documentary"" entails ""John was filming the documentary""",1
"""John was publishing the documentary"" entails ""John has filmed the documentary""",0
"""John was publishing the documentary"" entails ""John had filmed the documentary""",1
"""John was publishing the documentary"" entails ""John will film the documentary""",0
"""John was publishing the documentary"" entails ""John films the documentary""",0
"""John was publishing the documentary"" entails ""John filmed the documentary""",1
"""John has published the documentary"" entails ""John is filming the documentary""",0
"""John has published the documentary"" entails ""John was filming the documentary""",1
"""John has published the documentary"" entails ""John has filmed the documentary""",1
"""John has published the documentary"" entails ""John had filmed the documentary""",1
"""John has published the documentary"" entails ""John will film the documentary""",0
"""John has published the documentary"" entails ""John films the documentary""",0
"""John has published the documentary"" entails ""John filmed the documentary""",1
"""John had published the documentary"" entails ""John is filming the documentary""",0
"""John had published the documentary"" entails ""John was filming the documentary""",1
"""John had published the documentary"" entails ""John has filmed the documentary""",0
"""John had published the documentary"" entails ""John had filmed the documentary""",1
"""John had published the documentary"" entails ""John will film the documentary""",0
"""John had published the documentary"" entails ""John films the documentary""",0
"""John had published the documentary"" entails ""John filmed the documentary""",1
"""John will publish the documentary"" entails ""John is filming the documentary""",0
"""John will publish the documentary"" entails ""John was filming the documentary""",0
"""John will publish the documentary"" entails ""John has filmed the documentary""",0
"""John will publish the documentary"" entails ""John had filmed the documentary""",0
"""John will publish the documentary"" entails ""John will film the documentary""",0
"""John will publish the documentary"" entails ""John films the documentary""",0
"""John will publish the documentary"" entails ""John filmed the documentary""",0
"""John publishes the documentary"" entails ""John is filming the documentary""",0
"""John publishes the documentary"" entails ""John was filming the documentary""",1
"""John publishes the documentary"" entails ""John has filmed the documentary""",1
"""John publishes the documentary"" entails ""John had filmed the documentary""",1
"""John publishes the documentary"" entails ""John will film the documentary""",0
"""John publishes the documentary"" entails ""John films the documentary""",0
"""John publishes the documentary"" entails ""John filmed the documentary""",1
"""John published the documentary"" entails ""John is filming the documentary""",0
"""John published the documentary"" entails ""John was filming the documentary""",1
"""John published the documentary"" entails ""John has filmed the documentary""",0
"""John published the documentary"" entails ""John had filmed the documentary""",1
"""John published the documentary"" entails ""John will film the documentary""",0
"""John published the documentary"" entails ""John films the documentary""",0
