ID	EID	Completed	Modal_Verb	Original_Sentence	Marked_Sentence_English	Marked_Sentence_Japanese	Source_Modal	Annotation_Notes	Tested_Modal	Transformation_Strategy	Transformation_Category	Palmer_Annotations	Quirk_Annotations	Palmer_Expected	Quirk_Expected	Grammaticality_Expected
0ebf0866f86b5644b478797181f14a626496a6044c38679878462523d3361c6b_alt_can	0ebf0866f86b5644b478797181f14a626496a6044c38679878462523d3361c6b	0	can	That is really sweet of them. Must have been a big party.	That is really sweet of them. *can* have been a big party.		must	Modal substitution: 'must' → 'can'. Strategy: necessity_to_ability_substitution. Please verify grammaticality and classify modal categories.	can	necessity_to_ability_substitution	substitution	"[""epistemic"", ""epistemic"", ""epistemic""]"	"[""necessity"", ""necessity"", ""necessity""]"	unknown	unknown	yes
0ebf0866f86b5644b478797181f14a626496a6044c38679878462523d3361c6b_alt_could	0ebf0866f86b5644b478797181f14a626496a6044c38679878462523d3361c6b	0	could	That is really sweet of them. Must have been a big party.	That is really sweet of them. *could* have been a big party.		must	Modal substitution: 'must' → 'could'. Strategy: necessity_to_ability_substitution. Please verify grammaticality and classify modal categories.	could	necessity_to_ability_substitution	substitution	"[""epistemic"", ""epistemic"", ""epistemic""]"	"[""necessity"", ""necessity"", ""necessity""]"	unknown	unknown	yes
0ebf0866f86b5644b478797181f14a626496a6044c38679878462523d3361c6b_alt_may	0ebf0866f86b5644b478797181f14a626496a6044c38679878462523d3361c6b	0	may	That is really sweet of them. Must have been a big party.	That is really sweet of them. *may* have been a big party.		must	Modal substitution: 'must' → 'may'. Strategy: necessity_to_permission. Please verify grammaticality and classify modal categories.	may	necessity_to_permission	entailment	"[""epistemic"", ""epistemic"", ""epistemic""]"	"[""necessity"", ""necessity"", ""necessity""]"	unknown	unknown	yes
0ebf0866f86b5644b478797181f14a626496a6044c38679878462523d3361c6b_alt_might	0ebf0866f86b5644b478797181f14a626496a6044c38679878462523d3361c6b	0	might	That is really sweet of them. Must have been a big party.	That is really sweet of them. *might* have been a big party.		must	Modal substitution: 'must' → 'might'. Strategy: necessity_to_possibility. Please verify grammaticality and classify modal categories.	might	necessity_to_possibility	entailment	"[""epistemic"", ""epistemic"", ""epistemic""]"	"[""necessity"", ""necessity"", ""necessity""]"	unknown	unknown	partial
0ebf0866f86b5644b478797181f14a626496a6044c38679878462523d3361c6b_alt_shall	0ebf0866f86b5644b478797181f14a626496a6044c38679878462523d3361c6b	0	shall	That is really sweet of them. Must have been a big party.	That is really sweet of them. *shall* have been a big party.		must	Modal substitution: 'must' → 'shall'. Strategy: necessity_to_obligation_substitution. Please verify grammaticality and classify modal categories.	shall	necessity_to_obligation_substitution	substitution	"[""epistemic"", ""epistemic"", ""epistemic""]"	"[""necessity"", ""necessity"", ""necessity""]"	unknown	unknown	yes
0ebf0866f86b5644b478797181f14a626496a6044c38679878462523d3361c6b_alt_should	0ebf0866f86b5644b478797181f14a626496a6044c38679878462523d3361c6b	0	should	That is really sweet of them. Must have been a big party.	That is really sweet of them. *should* have been a big party.		must	Modal substitution: 'must' → 'should'. Strategy: necessity_to_advice. Please verify grammaticality and classify modal categories.	should	necessity_to_advice	entailment	"[""epistemic"", ""epistemic"", ""epistemic""]"	"[""necessity"", ""necessity"", ""necessity""]"	unknown	unknown	yes
0ebf0866f86b5644b478797181f14a626496a6044c38679878462523d3361c6b_alt_will	0ebf0866f86b5644b478797181f14a626496a6044c38679878462523d3361c6b	0	will	That is really sweet of them. Must have been a big party.	That is really sweet of them. *will* have been a big party.		must	Modal substitution: 'must' → 'will'. Strategy: necessity_to_prediction_substitution. Please verify grammaticality and classify modal categories.	will	necessity_to_prediction_substitution	substitution	"[""epistemic"", ""epistemic"", ""epistemic""]"	"[""necessity"", ""necessity"", ""necessity""]"	unknown	unknown	yes
0ebf0866f86b5644b478797181f14a626496a6044c38679878462523d3361c6b_alt_would	0ebf0866f86b5644b478797181f14a626496a6044c38679878462523d3361c6b	0	would	That is really sweet of them. Must have been a big party.	That is really sweet of them. *would* have been a big party.		must	Modal substitution: 'must' → 'would'. Strategy: necessity_to_conditional_substitution. Please verify grammaticality and classify modal categories.	would	necessity_to_conditional_substitution	substitution	"[""epistemic"", ""epistemic"", ""epistemic""]"	"[""necessity"", ""necessity"", ""necessity""]"	unknown	unknown	yes
0ebf0866f86b5644b478797181f14a626496a6044c38679878462523d3361c6b_alt_ought_to	0ebf0866f86b5644b478797181f14a626496a6044c38679878462523d3361c6b	0	ought to	That is really sweet of them. Must have been a big party.	That is really sweet of them. *ought to* have been a big party.		must	Modal substitution: 'must' → 'ought to'. Strategy: necessity_to_advice. Please verify grammaticality and classify modal categories.	ought to	necessity_to_advice	entailment	"[""epistemic"", ""epistemic"", ""epistemic""]"	"[""necessity"", ""necessity"", ""necessity""]"	unknown	unknown	yes
ca4b1315c6993858520a1be19a836afa6778a727297b3ada272967b931b04a08	ca4b1315c6993858520a1be19a836afa6778a727297b3ada272967b931b04a08	1	none	So you can ride in style for free. Sounds fair to me.. until you get yours!:)	So you are riding in style for free. Sounds fair to me.. until you get yours!:)		can		none	none	none	"[""dynamic"", ""dynamic"", ""dynamic""]"	"[""ability"", ""ability"", ""ability""]"	dynamic	ability	yes
ca4b1315c6993858520a1be19a836afa6778a727297b3ada272967b931b04a08_orig	ca4b1315c6993858520a1be19a836afa6778a727297b3ada272967b931b04a08	1	can	So you can ride in style for free. Sounds fair to me.. until you get yours!:)	So you *can* ride in style for free. Sounds fair to me.. until you get yours!:)		can	Original sentence from dataset. Modal: 'can'. Verified and complete.	can	original	original	"[""dynamic"", ""dynamic"", ""dynamic""]"	"[""ability"", ""ability"", ""ability""]"	dynamic	ability	yes
ca4b1315c6993858520a1be19a836afa6778a727297b3ada272967b931b04a08_alt_could	ca4b1315c6993858520a1be19a836afa6778a727297b3ada272967b931b04a08	0	could	So you can ride in style for free. Sounds fair to me.. until you get yours!:)	So you *could* ride in style for free. Sounds fair to me.. until you get yours!:)		can	Modal substitution: 'can' → 'could'. Strategy: ability_weakening. Please verify grammaticality and classify modal categories.	could	ability_weakening	substitution	"[""dynamic"", ""dynamic"", ""dynamic""]"	"[""ability"", ""ability"", ""ability""]"	unknown	unknown	yes
ca4b1315c6993858520a1be19a836afa6778a727297b3ada272967b931b04a08_alt_may	ca4b1315c6993858520a1be19a836afa6778a727297b3ada272967b931b04a08	0	may	So you can ride in style for free. Sounds fair to me.. until you get yours!:)	So you *may* ride in style for free. Sounds fair to me.. until you get yours!:)		can	Modal substitution: 'can' → 'may'. Strategy: ability_to_permission. Please verify grammaticality and classify modal categories.	may	ability_to_permission	entailment	"[""dynamic"", ""dynamic"", ""dynamic""]"	"[""ability"", ""ability"", ""ability""]"	unknown	unknown	yes
ca4b1315c6993858520a1be19a836afa6778a727297b3ada272967b931b04a08_alt_might	ca4b1315c6993858520a1be19a836afa6778a727297b3ada272967b931b04a08	0	might	So you can ride in style for free. Sounds fair to me.. until you get yours!:)	So you *might* ride in style for free. Sounds fair to me.. until you get yours!:)		can	Modal substitution: 'can' → 'might'. Strategy: ability_to_possibility. Please verify grammaticality and classify modal categories.	might	ability_to_possibility	entailment	"[""dynamic"", ""dynamic"", ""dynamic""]"	"[""ability"", ""ability"", ""ability""]"	unknown	unknown	yes
ca4b1315c6993858520a1be19a836afa6778a727297b3ada272967b931b04a08_alt_must	ca4b1315c6993858520a1be19a836afa6778a727297b3ada272967b931b04a08	0	must	So you can ride in style for free. Sounds fair to me.. until you get yours!:)	So you *must* ride in style for free. Sounds fair to me.. until you get yours!:)		can	Modal substitution: 'can' → 'must'. Strategy: ability_to_necessity_substitution. Please verify grammaticality and classify modal categories.	must	ability_to_necessity_substitution	substitution	"[""dynamic"", ""dynamic"", ""dynamic""]"	"[""ability"", ""ability"", ""ability""]"	unknown	unknown	yes
ca4b1315c6993858520a1be19a836afa6778a727297b3ada272967b931b04a08_alt_shall	ca4b1315c6993858520a1be19a836afa6778a727297b3ada272967b931b04a08	0	shall	So you can ride in style for free. Sounds fair to me.. until you get yours!:)	So you *shall* ride in style for free. Sounds fair to me.. until you get yours!:)		can	Modal substitution: 'can' → 'shall'. Strategy: ability_to_obligation_substitution. Please verify grammaticality and classify modal categories.	shall	ability_to_obligation_substitution	substitution	"[""dynamic"", ""dynamic"", ""dynamic""]"	"[""ability"", ""ability"", ""ability""]"	unknown	unknown	yes
ca4b1315c6993858520a1be19a836afa6778a727297b3ada272967b931b04a08_alt_should	ca4b1315c6993858520a1be19a836afa6778a727297b3ada272967b931b04a08	0	should	So you can ride in style for free. Sounds fair to me.. until you get yours!:)	So you *should* ride in style for free. Sounds fair to me.. until you get yours!:)		can	Modal substitution: 'can' → 'should'. Strategy: ability_to_advice_substitution. Please verify grammaticality and classify modal categories.	should	ability_to_advice_substitution	substitution	"[""dynamic"", ""dynamic"", ""dynamic""]"	"[""ability"", ""ability"", ""ability""]"	unknown	unknown	yes
ca4b1315c6993858520a1be19a836afa6778a727297b3ada272967b931b04a08_alt_will	ca4b1315c6993858520a1be19a836afa6778a727297b3ada272967b931b04a08	0	will	So you can ride in style for free. Sounds fair to me.. until you get yours!:)	So you *will* ride in style for free. Sounds fair to me.. until you get yours!:)		can	Modal substitution: 'can' → 'will'. Strategy: ability_to_prediction_substitution. Please verify grammaticality and classify modal categories.	will	ability_to_prediction_substitution	substitution	"[""dynamic"", ""dynamic"", ""dynamic""]"	"[""ability"", ""ability"", ""ability""]"	unknown	unknown	yes
ca4b1315c6993858520a1be19a836afa6778a727297b3ada272967b931b04a08_alt_would	ca4b1315c6993858520a1be19a836afa6778a727297b3ada272967b931b04a08	0	would	So you can ride in style for free. Sounds fair to me.. until you get yours!:)	So you *would* ride in style for free. Sounds fair to me.. until you get yours!:)		can	Modal substitution: 'can' → 'would'. Strategy: ability_to_conditional_substitution. Please verify grammaticality and classify modal categories.	would	ability_to_conditional_substitution	substitution	"[""dynamic"", ""dynamic"", ""dynamic""]"	"[""ability"", ""ability"", ""ability""]"	unknown	unknown	yes
ca4b1315c6993858520a1be19a836afa6778a727297b3ada272967b931b04a08_alt_ought_to	ca4b1315c6993858520a1be19a836afa6778a727297b3ada272967b931b04a08	0	ought to	So you can ride in style for free. Sounds fair to me.. until you get yours!:)	So you *ought to* ride in style for free. Sounds fair to me.. until you get yours!:)		can	Modal substitution: 'can' → 'ought to'. Strategy: ability_to_advice_substitution. Please verify grammaticality and classify modal categories.	ought to	ability_to_advice_substitution	substitution	"[""dynamic"", ""dynamic"", ""dynamic""]"	"[""ability"", ""ability"", ""ability""]"	unknown	unknown	yes
bb15d475ab26eb196fe75fc0bde91c6a127e5933223261c7124c79767e011ca6	bb15d475ab26eb196fe75fc0bde91c6a127e5933223261c7124c79767e011ca6	1	none	I am trying to sell my house. It is been on the market for a year now, but I think I found someone who might buy it. I am trying to move to another area.	I am trying to sell my house. It is been on the market for a year now, but I (think I) found an interested buyer. I am trying to move to another area.		might	multiple modality	none	none	none	"[""dynamic"", ""dynamic"", ""dynamic""]"	"[""possibility"", ""possibility"", ""possibility""]"	dynamic	possibility	yes
bb15d475ab26eb196fe75fc0bde91c6a127e5933223261c7124c79767e011ca6_orig	bb15d475ab26eb196fe75fc0bde91c6a127e5933223261c7124c79767e011ca6	1	might	I am trying to sell my house. It is been on the market for a year now, but I think I found someone who might buy it. I am trying to move to another area.	I am trying to sell my house. It is been on the market for a year now, but I think I found someone who *might* buy it. I am trying to move to another area.		might	Original sentence from dataset. Modal: 'might'. Verified and complete.	might	original	original	"[""dynamic"", ""dynamic"", ""dynamic""]"	"[""possibility"", ""possibility"", ""possibility""]"	dynamic	possibility	yes
bb15d475ab26eb196fe75fc0bde91c6a127e5933223261c7124c79767e011ca6_alt_can	bb15d475ab26eb196fe75fc0bde91c6a127e5933223261c7124c79767e011ca6	0	can	I am trying to sell my house. It is been on the market for a year now, but I think I found someone who might buy it. I am trying to move to another area.	I am trying to sell my house. It is been on the market for a year now, but I think I found someone who *can* buy it. I am trying to move to another area.		might	Modal substitution: 'might' → 'can'. Strategy: possibility_to_impossibility. Please verify grammaticality and classify modal categories.	can	possibility_to_impossibility	entailment	"[""dynamic"", ""dynamic"", ""dynamic""]"	"[""possibility"", ""possibility"", ""possibility""]"	unknown	unknown	yes
bb15d475ab26eb196fe75fc0bde91c6a127e5933223261c7124c79767e011ca6_alt_could	bb15d475ab26eb196fe75fc0bde91c6a127e5933223261c7124c79767e011ca6	0	could	I am trying to sell my house. It is been on the market for a year now, but I think I found someone who might buy it. I am trying to move to another area.	I am trying to sell my house. It is been on the market for a year now, but I think I found someone who *could* buy it. I am trying to move to another area.		might	Modal substitution: 'might' → 'could'. Strategy: possibility_to_ability_substitution. Please verify grammaticality and classify modal categories.	could	possibility_to_ability_substitution	substitution	"[""dynamic"", ""dynamic"", ""dynamic""]"	"[""possibility"", ""possibility"", ""possibility""]"	unknown	unknown	yes
bb15d475ab26eb196fe75fc0bde91c6a127e5933223261c7124c79767e011ca6_alt_may	bb15d475ab26eb196fe75fc0bde91c6a127e5933223261c7124c79767e011ca6	0	may	I am trying to sell my house. It is been on the market for a year now, but I think I found someone who might buy it. I am trying to move to another area.	I am trying to sell my house. It is been on the market for a year now, but I think I found someone who *may* buy it. I am trying to move to another area.		might	Modal substitution: 'might' → 'may'. Strategy: possibility_to_permission_substitution. Please verify grammaticality and classify modal categories.	may	possibility_to_permission_substitution	substitution	"[""dynamic"", ""dynamic"", ""dynamic""]"	"[""possibility"", ""possibility"", ""possibility""]"	unknown	unknown	yes
bb15d475ab26eb196fe75fc0bde91c6a127e5933223261c7124c79767e011ca6_alt_must	bb15d475ab26eb196fe75fc0bde91c6a127e5933223261c7124c79767e011ca6	0	must	I am trying to sell my house. It is been on the market for a year now, but I think I found someone who might buy it. I am trying to move to another area.	I am trying to sell my house. It is been on the market for a year now, but I think I found someone who *must* buy it. I am trying to move to another area.		might	Modal substitution: 'might' → 'must'. Strategy: possibility_to_necessity. Please verify grammaticality and classify modal categories.	must	possibility_to_necessity	entailment	"[""dynamic"", ""dynamic"", ""dynamic""]"	"[""possibility"", ""possibility"", ""possibility""]"	unknown	unknown	yes
bb15d475ab26eb196fe75fc0bde91c6a127e5933223261c7124c79767e011ca6_alt_shall	bb15d475ab26eb196fe75fc0bde91c6a127e5933223261c7124c79767e011ca6	0	shall	I am trying to sell my house. It is been on the market for a year now, but I think I found someone who might buy it. I am trying to move to another area.	I am trying to sell my house. It is been on the market for a year now, but I think I found someone who *shall* buy it. I am trying to move to another area.		might	Modal substitution: 'might' → 'shall'. Strategy: possibility_to_obligation_substitution. Please verify grammaticality and classify modal categories.	shall	possibility_to_obligation_substitution	substitution	"[""dynamic"", ""dynamic"", ""dynamic""]"	"[""possibility"", ""possibility"", ""possibility""]"	unknown	unknown	yes
bb15d475ab26eb196fe75fc0bde91c6a127e5933223261c7124c79767e011ca6_alt_should	bb15d475ab26eb196fe75fc0bde91c6a127e5933223261c7124c79767e011ca6	0	should	I am trying to sell my house. It is been on the market for a year now, but I think I found someone who might buy it. I am trying to move to another area.	I am trying to sell my house. It is been on the market for a year now, but I think I found someone who *should* buy it. I am trying to move to another area.		might	Modal substitution: 'might' → 'should'. Strategy: possibility_to_advice_substitution. Please verify grammaticality and classify modal categories.	should	possibility_to_advice_substitution	substitution	"[""dynamic"", ""dynamic"", ""dynamic""]"	"[""possibility"", ""possibility"", ""possibility""]"	unknown	unknown	yes
bb15d475ab26eb196fe75fc0bde91c6a127e5933223261c7124c79767e011ca6_alt_will	bb15d475ab26eb196fe75fc0bde91c6a127e5933223261c7124c79767e011ca6	0	will	I am trying to sell my house. It is been on the market for a year now, but I think I found someone who might buy it. I am trying to move to another area.	I am trying to sell my house. It is been on the market for a year now, but I think I found someone who *will* buy it. I am trying to move to another area.		might	Modal substitution: 'might' → 'will'. Strategy: possibility_to_prediction. Please verify grammaticality and classify modal categories.	will	possibility_to_prediction	entailment	"[""dynamic"", ""dynamic"", ""dynamic""]"	"[""possibility"", ""possibility"", ""possibility""]"	unknown	unknown	yes
bb15d475ab26eb196fe75fc0bde91c6a127e5933223261c7124c79767e011ca6_alt_would	bb15d475ab26eb196fe75fc0bde91c6a127e5933223261c7124c79767e011ca6	0	would	I am trying to sell my house. It is been on the market for a year now, but I think I found someone who might buy it. I am trying to move to another area.	I am trying to sell my house. It is been on the market for a year now, but I think I found someone who *would* buy it. I am trying to move to another area.		might	Modal substitution: 'might' → 'would'. Strategy: possibility_to_conditional_substitution. Please verify grammaticality and classify modal categories.	would	possibility_to_conditional_substitution	substitution	"[""dynamic"", ""dynamic"", ""dynamic""]"	"[""possibility"", ""possibility"", ""possibility""]"	unknown	unknown	yes
bb15d475ab26eb196fe75fc0bde91c6a127e5933223261c7124c79767e011ca6_alt_ought_to	bb15d475ab26eb196fe75fc0bde91c6a127e5933223261c7124c79767e011ca6	0	ought to	I am trying to sell my house. It is been on the market for a year now, but I think I found someone who might buy it. I am trying to move to another area.	I am trying to sell my house. It is been on the market for a year now, but I think I found someone who *ought to* buy it. I am trying to move to another area.		might	Modal substitution: 'might' → 'ought to'. Strategy: possibility_to_advice_substitution. Please verify grammaticality and classify modal categories.	ought to	possibility_to_advice_substitution	substitution	"[""dynamic"", ""dynamic"", ""dynamic""]"	"[""possibility"", ""possibility"", ""possibility""]"	unknown	unknown	yes
5aef6892a1572170f6f53f57c245a11365cd95547829c381050a08b656cd8df3	5aef6892a1572170f6f53f57c245a11365cd95547829c381050a08b656cd8df3	1	none	I get it.. but you know life really is too short.. i think you should try to reach out! Do it!:)	I get it.. but you know life really is too short.. (i think) reaching out is the best thing! Do it! :)		should	tense, explication, multiple, imperative	none	none	none	"[""deontic"", ""deontic"", ""deontic""]"	"[""obligation"", ""obligation"", ""obligation""]"	deontic	obligation	yes
5aef6892a1572170f6f53f57c245a11365cd95547829c381050a08b656cd8df3_orig	5aef6892a1572170f6f53f57c245a11365cd95547829c381050a08b656cd8df3	1	should	I get it.. but you know life really is too short.. i think you should try to reach out! Do it!:)	I get it.. but you know life really is too short.. i think you *should* try to reach out! Do it!:)		should	Original sentence from dataset. Modal: 'should'. Verified and complete.	should	original	original	"[""deontic"", ""deontic"", ""deontic""]"	"[""obligation"", ""obligation"", ""obligation""]"	deontic	obligation	yes
5aef6892a1572170f6f53f57c245a11365cd95547829c381050a08b656cd8df3_alt_can	5aef6892a1572170f6f53f57c245a11365cd95547829c381050a08b656cd8df3	0	can	I get it.. but you know life really is too short.. i think you should try to reach out! Do it!:)	I get it.. but you know life really is too short.. i think you *can* try to reach out! Do it!:)		should	Modal substitution: 'should' → 'can'. Strategy: advice_to_possibility. Please verify grammaticality and classify modal categories.	can	advice_to_possibility	entailment	"[""deontic"", ""deontic"", ""deontic""]"	"[""obligation"", ""obligation"", ""obligation""]"	unknown	unknown	partial
5aef6892a1572170f6f53f57c245a11365cd95547829c381050a08b656cd8df3_alt_could	5aef6892a1572170f6f53f57c245a11365cd95547829c381050a08b656cd8df3	0	could	I get it.. but you know life really is too short.. i think you should try to reach out! Do it!:)	I get it.. but you know life really is too short.. i think you *could* try to reach out! Do it!:)		should	Modal substitution: 'should' → 'could'. Strategy: advice_to_ability_substitution. Please verify grammaticality and classify modal categories.	could	advice_to_ability_substitution	substitution	"[""deontic"", ""deontic"", ""deontic""]"	"[""obligation"", ""obligation"", ""obligation""]"	unknown	unknown	yes
5aef6892a1572170f6f53f57c245a11365cd95547829c381050a08b656cd8df3_alt_may	5aef6892a1572170f6f53f57c245a11365cd95547829c381050a08b656cd8df3	0	may	I get it.. but you know life really is too short.. i think you should try to reach out! Do it!:)	I get it.. but you know life really is too short.. i think you *may* try to reach out! Do it!:)		should	Modal substitution: 'should' → 'may'. Strategy: advice_to_permission. Please verify grammaticality and classify modal categories.	may	advice_to_permission	entailment	"[""deontic"", ""deontic"", ""deontic""]"	"[""obligation"", ""obligation"", ""obligation""]"	unknown	unknown	yes
5aef6892a1572170f6f53f57c245a11365cd95547829c381050a08b656cd8df3_alt_might	5aef6892a1572170f6f53f57c245a11365cd95547829c381050a08b656cd8df3	0	might	I get it.. but you know life really is too short.. i think you should try to reach out! Do it!:)	I get it.. but you know life really is too short.. i think you *might* try to reach out! Do it!:)		should	Modal substitution: 'should' → 'might'. Strategy: advice_to_possibility. Please verify grammaticality and classify modal categories.	might	advice_to_possibility	entailment	"[""deontic"", ""deontic"", ""deontic""]"	"[""obligation"", ""obligation"", ""obligation""]"	unknown	unknown	partial
